Date,actual,gru_pred,residual
2023-01-11,42232.69921875,41859.9296875,372.76953125
2023-01-12,42082.25,42042.234375,40.015625
2023-01-13,42371.25,41919.625,451.625
2023-01-16,42167.55078125,42193.08203125,-25.53125
2023-01-17,42235.05078125,42011.64453125,223.40625
2023-01-18,42458.0,42061.671875,396.328125
2023-01-19,42328.8515625,42283.6484375,45.203125
2023-01-20,42506.80078125,42167.48828125,339.3125
2023-01-23,42821.25,42327.79296875,493.45703125
2023-01-24,42733.44921875,42641.37109375,92.078125
2023-01-25,41647.6484375,42564.93359375,-917.28515625
2023-01-27,40345.30078125,41498.5234375,-1153.22265625
2023-01-30,40387.44921875,40190.7265625,196.72265625
2023-01-31,40655.05078125,40202.46875,452.58203125
2023-02-01,40513.0,40512.56640625,0.43359375
2023-02-02,40669.30078125,40406.1640625,263.13671875
2023-02-03,41499.69921875,40549.2421875,950.45703125
2023-02-06,41374.6484375,41362.8671875,11.78125
2023-02-07,41490.94921875,41275.76171875,215.1875
2023-02-08,41537.6484375,41357.80078125,179.84765625
2023-02-09,41554.30078125,41401.32421875,152.9765625
2023-02-10,41559.3984375,41414.3203125,145.078125
2023-02-13,41282.19921875,41416.57421875,-134.375
2023-02-14,41648.3515625,41146.81640625,501.53515625
2023-02-15,41731.05078125,41488.23046875,242.8203125
2023-02-16,41631.3515625,41592.04296875,39.30859375
2023-02-17,41131.75,41491.9375,-360.1875
2023-02-20,40701.69921875,40998.5,-296.80078125
2023-02-21,40673.6015625,40561.2421875,112.359375
2023-02-22,39995.8984375,40529.21484375,-533.31640625
2023-02-23,40001.55078125,39891.734375,109.81640625
2023-02-24,39909.3984375,39873.62109375,35.77734375
2023-02-27,40307.1015625,39806.640625,500.4609375
2023-02-28,40269.05078125,40195.390625,73.66015625
2023-03-01,40698.1484375,40182.5859375,515.5625
2023-03-02,40389.80078125,40586.49609375,-196.6953125
2023-03-03,41251.3515625,40305.19140625,946.16015625
2023-03-06,41350.3984375,41111.40625,238.9921875
2023-03-08,41577.1015625,41249.17578125,327.92578125
2023-03-09,41256.75,41450.5546875,-193.8046875
2023-03-10,40485.44921875,41138.03515625,-652.5859375
2023-03-13,39564.69921875,40367.55078125,-802.8515625
2023-03-14,39411.3984375,39448.69921875,-37.30078125
2023-03-15,39051.5,39281.5234375,-230.0234375
2023-03-16,39132.6015625,38963.046875,169.5546875
2023-03-17,39598.1015625,39042.578125,555.5234375
2023-03-20,39361.94921875,39512.15625,-150.20703125
2023-03-21,39894.69921875,39311.00390625,583.6953125
2023-03-22,39999.05078125,39802.12890625,196.921875
2023-03-23,39616.8984375,39929.3671875,-312.46875
2023-03-24,39395.3515625,39551.8046875,-156.453125
2023-03-27,39431.30078125,39311.05078125,120.25
2023-03-28,39567.8984375,39342.5390625,225.359375
2023-03-29,39910.1484375,39485.71875,424.4296875
2023-03-31,40608.6484375,39825.328125,783.3203125
2023-04-03,40813.05078125,40513.34765625,299.703125
2023-04-05,40999.1484375,40732.13671875,267.01171875
2023-04-06,41041.0,40897.18359375,143.81640625
2023-04-10,40834.6484375,40930.41796875,-95.76953125
2023-04-11,41366.5,40721.82421875,644.67578125
2023-04-12,41557.94921875,41221.76171875,336.1875
2023-04-13,42132.55078125,41434.73828125,697.8125
2023-04-17,42262.55078125,41986.6328125,275.91796875
2023-04-18,42265.19921875,42126.296875,138.90234375
2023-04-19,42154.0,42113.91796875,40.08203125
2023-04-20,42269.5,41994.3671875,275.1328125
2023-04-21,42118.0,42097.25390625,20.74609375
2023-04-24,42635.75,41957.10546875,678.64453125
2023-04-25,42678.5,42450.18359375,228.31640625
2023-04-26,42829.8984375,42516.8125,313.0859375
2023-04-27,43000.8515625,42652.09765625,348.75390625
2023-04-28,43233.8984375,42817.47265625,416.42578125
2023-05-02,43352.1015625,43044.1796875,307.921875
2023-05-03,43312.69921875,43161.07421875,151.625
2023-05-04,43685.44921875,43118.06640625,567.3828125
2023-05-05,42661.19921875,43471.51953125,-810.3203125
2023-05-08,43284.0,42491.2734375,792.7265625
2023-05-09,43198.1484375,43042.0,156.1484375
2023-05-10,43331.05078125,43009.33203125,321.71875
2023-05-11,43475.30078125,43127.49609375,347.8046875
2023-05-12,43793.55078125,43271.58203125,521.96875
2023-05-15,44072.1015625,43582.73046875,489.37109375
2023-05-16,43903.69921875,43860.57421875,43.125
2023-05-17,43698.69921875,43696.484375,2.21484375
2023-05-18,43752.30078125,43478.0078125,274.29296875
2023-05-19,43969.3984375,43522.04296875,447.35546875
2023-05-22,43885.1015625,43741.61328125,143.48828125
2023-05-23,43954.44921875,43669.2734375,285.17578125
2023-05-24,43677.8515625,43727.1875,-49.3359375
2023-05-25,43681.3984375,43461.15625,220.2421875
2023-05-26,44018.0,43451.6640625,566.3359375
2023-05-29,44311.8984375,43786.2890625,525.609375
2023-05-30,44436.3515625,44088.46875,347.8828125
2023-05-31,44128.1484375,44212.25,-84.1015625
2023-06-01,43790.19921875,43905.203125,-115.00390625
2023-06-02,43937.8515625,43556.36328125,381.48828125
2023-06-05,44101.6484375,43692.390625,409.2578125
2023-06-06,44164.55078125,43869.984375,294.56640625
2023-06-07,44275.30078125,43938.1171875,337.18359375
2023-06-08,43995.25,44043.38671875,-48.13671875
2023-06-09,43989.0,43771.6953125,217.3046875
2023-06-12,43944.19921875,43749.9375,194.26171875
2023-06-13,44079.8515625,43712.53515625,367.31640625
2023-06-14,43988.0,43845.5234375,142.4765625
2023-06-15,43443.6015625,43763.828125,-320.2265625
2023-06-16,43938.1484375,43228.17578125,709.97265625
2023-06-19,43633.75,43688.1640625,-54.4140625
2023-06-20,43766.5,43428.62890625,337.87109375
2023-06-21,43859.19921875,43537.59765625,321.6015625
2023-06-22,43724.8515625,43638.19140625,86.66015625
2023-06-23,43622.8984375,43509.94921875,112.94921875
2023-06-26,43641.05078125,43401.9921875,239.05859375
2023-06-27,44121.5,43418.07421875,703.42578125
